file_name,page_number,statement_type,confidence,template_field,value,field_confidence,value_year_1,value_year_2,value_year_3,value_year_4,raw_field_data
AFS-2022 - statement extracted,3,cash_flow,0.95,Profit (loss) before tax,6364665,0.95,6364665,6621599,,,"{'value': 6364665, 'confidence': 0.95, 'Value_Year_1': 6364665, 'Value_Year_2': 6621599}"
AFS-2022 - statement extracted,3,cash_flow,0.95,Depreciation Expense,1205040,0.95,1205040,1218229,,,"{'value': 1205040, 'confidence': 0.95, 'Value_Year_1': 1205040, 'Value_Year_2': 1218229}"
AFS-2022 - statement extracted,3,cash_flow,0.95,Comprehensive / Net income,7569705,0.95,7569705,7839828,,,"{'value': 7569705, 'confidence': 0.95, 'Value_Year_1': 7569705, 'Value_Year_2': 7839828}"
AFS-2022 - statement extracted,3,cash_flow,0.95,Trade and Other Current Receivables,2119596,0.9,2119596,1391625,,,"{'value': 2119596, 'confidence': 0.9, 'Value_Year_1': 2119596, 'Value_Year_2': 1391625}"
AFS-2022 - statement extracted,3,cash_flow,0.95,Current Inventories,-35137170,0.9,-35137170,-23879372,,,"{'value': -35137170, 'confidence': 0.9, 'Value_Year_1': -35137170, 'Value_Year_2': -23879372}"
AFS-2022 - statement extracted,3,cash_flow,0.95,Other current non-financial assets,-3124476,0.85,-3124476,-2064137,,,"{'value': -3124476, 'confidence': 0.85, 'Value_Year_1': -3124476, 'Value_Year_2': -2064137}"
AFS-2022 - statement extracted,3,cash_flow,0.95,Trade and other current payables,27376642,0.9,27376642,20696799,,,"{'value': 27376642, 'confidence': 0.9, 'Value_Year_1': 27376642, 'Value_Year_2': 20696799}"
AFS-2022 - statement extracted,3,cash_flow,0.95,"Property, Plant and Equipment",0,0.85,0,-47537,,,"{'value': 0, 'confidence': 0.85, 'Value_Year_1': 0, 'Value_Year_2': -47537}"
AFS-2022 - statement extracted,3,cash_flow,0.95,Cash and Cash Equivalents,10041673,0.95,10041673,11237376,,,"{'value': 10041673, 'confidence': 0.95, 'Value_Year_1': 10041673, 'Value_Year_2': 11237376}"
AFS-2022 - statement extracted,4,income_statement,0.95,Revenue,485192483,0.95,485192483,487225599,,,"{'value': 485192483, 'confidence': 0.95, 'Value_Year_1': 485192483, 'Value_Year_2': 487225599}"
AFS-2022 - statement extracted,4,income_statement,0.95,Cost of Sales,439318810,0.95,439318810,440879641,,,"{'value': 439318810, 'confidence': 0.95, 'Value_Year_1': 439318810, 'Value_Year_2': 440879641}"
AFS-2022 - statement extracted,4,income_statement,0.95,Gross Profit,45873673,0.95,45873673,46345958,,,"{'value': 45873673, 'confidence': 0.95, 'Value_Year_1': 45873673, 'Value_Year_2': 46345958}"
AFS-2022 - statement extracted,4,income_statement,0.95,Administrative expense,37387453,0.95,37387453,37517159,,,"{'value': 37387453, 'confidence': 0.95, 'Value_Year_1': 37387453, 'Value_Year_2': 37517159}"
AFS-2022 - statement extracted,4,income_statement,0.95,Profit (loss) before tax,8486219,0.95,8486219,8828798,,,"{'value': 8486219, 'confidence': 0.95, 'Value_Year_1': 8486219, 'Value_Year_2': 8828798}"
AFS-2022 - statement extracted,4,income_statement,0.95,Income tax expense (from continuing operations),2121555,0.95,2121555,2207200,,,"{'value': 2121555, 'confidence': 0.95, 'Value_Year_1': 2121555, 'Value_Year_2': 2207200}"
AFS-2022 - statement extracted,4,income_statement,0.95,Comprehensive / Net income,6364665,0.95,6364665,6621599,,,"{'value': 6364665, 'confidence': 0.95, 'Value_Year_1': 6364665, 'Value_Year_2': 6621599}"
